NM2,NM3,NM4,NM5,IDN5
Banskobystrický,Banská Bystrica,Strelníky,Strelníky,"859052"
Košický,Michalovce,Stretava,Stretava,"859061"
Košický,Michalovce,Stretavka,Stretavka,"859079"
Trenčiansky,Púchov,Streženice,Streženice,"859095"
Prešovský,Snina,Strihovce,Strihovce,"859117"
Prešovský,Svidník,Stročín,Stročín,"859125"
Prešovský,Stropkov,Stropkov,Stropkov,"859133"
Prešovský,Stropkov,Stropkov,Bokša,"859249"
Banskobystrický,Rimavská Sobota,Studená,Studená,"859281"
Prešovský,Levoča,Studenec,Studenec,"859290"
Bratislavský,Malacky,Studienka,Studienka,"859303"
Prešovský,Bardejov,Stuľany,Stuľany,"859311"
Bratislavský,Malacky,Stupava,Mást,"859320"
Bratislavský,Malacky,Stupava,Stupava,"859338"
Bratislavský,Malacky,Stupava,Mástske grefty,"859346"
Bratislavský,Malacky,Stupava,Stará Graba,"859354"
Trenčiansky,Považská Bystrica,Stupné,Stupné,"859362"
Žilinský,Martin,Sučany,Sučany,"859371"
Banskobystrický,Krupina,Sudince,Sudince,"859389"
Banskobystrický,Krupina,Súdovce,Súdovce,"859397"
Žilinský,Tvrdošín,Suchá Hora,Suchá Hora,"859401"
Trnavský,Trnava,Suchá nad Parnou,Suchá nad Parnou,"859435"
Banskobystrický,Veľký Krtíš,Sucháň,Sucháň,"859478"
Košický,Michalovce,Suché,Suché,"859494"
Banskobystrický,Veľký Krtíš,Suché Brezovo,Suché Brezovo,"859508"
Bratislavský,Malacky,Suchohrad,Suchohrad,"859524"
Prešovský,Medzilaborce,Sukov,Sukov,"859532"
Prešovský,Stará Ľubovňa,Sulín,Malý Sulín,"859541"
Prešovský,Stará Ľubovňa,Sulín,Veľký Sulín,"859559"
Žilinský,Bytča,Súľov-Hradná,Súľov-Hradná,"859583"
Nitriansky,Topoľčany,Súlovce,Súlovce,"859591"
Banskobystrický,Poltár,Sušany,Sušany,"859613"
Banskobystrický,Rimavská Sobota,Sútor,Sútor,"859621"
Nitriansky,Nitra,Svätoplukovo,Svätoplukovo,"859630"
Košický,Sobrance,Svätuš,Svätuš,"859648"
Žilinský,Liptovský Mikuláš,Svätý Kríž,Svätý Kríž,"859656"
Žilinský,Žilina,Svederník,Svederník,"859681"
Trenčiansky,Považská Bystrica,Sverepec,Sverepec,"859702"
Prešovský,Bardejov,Sveržov,Sveržov,"859711"
Prešovský,Medzilaborce,Svetlice,Svetlice,"859729"
Prešovský,Svidník,Svidnička,Svidnička,"859737"
Prešovský,Svidník,Svidník,Svidník,"859745"
Prešovský,Prešov,Svinia,Svinia,"859851"
Košický,Košice - okolie,Svinica,Svinica,"859877"
Košický,Trebišov,Svinice,Svinice,"859885"
Trenčiansky,Trenčín,Svinná,Svinná,"859907"
Prešovský,Poprad,Svit,Svit,"859923"
Nitriansky,Nové Zámky,Svodín,Maďarský Svodín,"859940"
Nitriansky,Levice,Želiezovce,Svodov,"859966"
Nitriansky,Topoľčany,Svrbice,Svrbice,"859974"
Žilinský,Čadca,Svrčinovec,Svrčinovec,"860018"
Banskobystrický,Revúca,Tornaľa,Tornaľa,"860123"
Banskobystrický,Revúca,Tornaľa,Železné,"860131"
Nitriansky,Levice,Šahy,Šahy,"860158"
Trnavský,Senica,Šajdíkove Humence,Šajdíkove Humence,"860174"
Nitriansky,Šaľa,Šaľa,Šaľa,"860182"
Trnavský,Galanta,Šalgočka,Šalgočka,"860301"
Nitriansky,Topoľčany,Šalgovce,Šalgovce,"860310"
Prešovský,Prešov,Prešov,Šalgovík,"860328"
Nitriansky,Levice,Šalov,Šalov,"860344"
Prešovský,Stará Ľubovňa,Šambron,Šambron,"860361"
Trnavský,Dunajská Streda,Šamorín,Čilistov,"860379"
Trnavský,Dunajská Streda,Šamorín,Šamorín,"860387"
Košický,Michalovce,Šamudovce,Šamudovce,"860417"
Prešovský,Stropkov,Šandal,Šandal,"860433"
Prešovský,Svidník,Šarbov,Šarbov,"860441"
Prešovský,Prešov,Lipníky,Lipníky,"860468"
Prešovský,Prešov,Šarišská Poruba,Šarišská Poruba,"860476"
Prešovský,Prešov,Šarišská Trstená,Šarišská Trstená,"860484"
Prešovský,Prešov,Šarišské Bohdanovce,Šarišské Bohdanovce,"860492"
Prešovský,Bardejov,Šarišské Čierne,Šarišské Čierne,"860506"
Prešovský,Sabinov,Šarišské Dravce,Šarišské Dravce,"860514"
Prešovský,Stará Ľubovňa,Šarišské Jastrabie,Šarišské Jastrabie,"860522"
Prešovský,Prešov,Kojatice,Šarišské Lužianky,"860549"
Prešovský,Sabinov,Šarišské Michaľany,Šarišské Michaľany,"860557"
Prešovský,Sabinov,Šarišské Sokolovce,Šarišské Sokolovce,"860565"
Prešovský,Svidník,Šarišský Štiavnik,Šarišský Štiavnik,"860573"
Nitriansky,Nové Zámky,Šarkan,Šarkan,"860581"
Nitriansky,Levice,Šarovce,Malé Šarovce,"860603"
Nitriansky,Levice,Šarovce,Veľké Šarovce,"860611"
Nitriansky,Levice,Šarovce,Veselá,"860620"
Prešovský,Bardejov,Šašová,Šašová,"860638"
Banskobystrický,Žiar nad Hronom,Žiar nad Hronom,Šášovské Podhradie,"860654"
Trnavský,Senica,Šaštín-Stráže,Stráže nad Myjavou,"860671"
Trnavský,Senica,Šaštín-Stráže,Šaštín,"860689"
Banskobystrický,Lučenec,Šávoľ,Šávoľ,"860697"
Košický,Košice IV,Košice-Šebastovce,Šebastovce,"860701"
Trenčiansky,Považská Bystrica,Považská Bystrica,Šebešťanová,"860719"
Trnavský,Trnava,Šelpice,Šelpice,"860735"
Prešovský,Svidník,Šemetkovce,Šemetkovce,"860743"
Košický,Košice - okolie,Šemša,Šemša,"860751"
Bratislavský,Pezinok,Šenkvice,Malé Šenkvice,"860760"
Bratislavský,Pezinok,Šenkvice,Veľké Šenkvice,"860778"
Banskobystrický,Lučenec,Šiatorská Bukovinka,Šiatorská Bukovinka,"860786"
Prešovský,Bardejov,Šiba,Šiba,"860816"
Banskobystrický,Lučenec,Šíd,Šíd,"860824"
Banskobystrický,Rimavská Sobota,Šimonovce,Šimonovce,"860832"
Prešovský,Prešov,Šindliar,Šindliar,"860841"
Trnavský,Galanta,Šintava,Šintava,"860859"
Banskobystrický,Krupina,Hontianske Tesáre,Horné Šipice,"860867"
Banskobystrický,Krupina,Hontianske Tesáre,Dolné Šipice,"860875"
Trenčiansky,Bánovce nad Bebravou,Šípkov,Šípkov,"860883"
Trnavský,Piešťany,Šípkové,Šípkové,"860905"
Banskobystrický,Veľký Krtíš,Širákov,Širákov,"860913"
Banskobystrický,Rimavská Sobota,Širkovce,Širkovce,"860921"
Prešovský,Prešov,Široké,Široké,"860948"
Trenčiansky,Bánovce nad Bebravou,Šišov,Šišov,"860972"
Banskobystrický,Revúca,Šivetice,Šivetice,"860981"
Prešovský,Snina,Šmigovec,Šmigovec,"860999"
Banskobystrický,Poltár,Šoltýska,Šoltýska,"861006"
Trnavský,Galanta,Šoporňa,Šoporňa,"861014"
Trnavský,Trnava,Špačince,Špačince,"861049"
Banskobystrický,Banská Bystrica,Špania Dolina,Špania Dolina,"861057"
Banskobystrický,Rimavská Sobota,Španie Pole,Španie Pole,"861065"
Nitriansky,Komárno,Šrobárová,Šrobárová,"861073"
Trnavský,Senica,Štefanov,Štefanov,"861081"
Žilinský,Tvrdošín,Štefanov nad Oravou,Dolný Štefanov,"861090"
Žilinský,Tvrdošín,Štefanov nad Oravou,Horný Štefanov,"861103"
Bratislavský,Pezinok,Štefanová,Štefanová,"861111"
Prešovský,Prešov,Štefanovce,Štefanovce,"861120"
Prešovský,Vranov nad Topľou,Štefanovce,Štefanovce,"861138"
Nitriansky,Nitra,Štefanovičová,Štefanovičová,"861162"
Prešovský,Svidník,Štefurov,Štefurov,"861171"
Trnavský,Piešťany,Šterusy,Šterusy,"861189"
Banskobystrický,Banská Štiavnica,Štiavnické Bane,Štiavnické Bane,"861197"
Žilinský,Ružomberok,Štiavnička,Štiavnička,"861201"
Žilinský,Bytča,Štiavnik,Štiavnik,"861324"
Košický,Rožňava,Štítnik,Štítnik,"861341"
Košický,Košice - okolie,Štós,Štós,"861359"
Prešovský,Poprad,Štrba,Štrba,"861375"
Prešovský,Poprad,Vysoké Tatry,Štrbské Pleso,"861405"
Banskobystrický,Rimavská Sobota,Štrkovec,Štrkovec,"861421"
Nitriansky,Nové Zámky,Nána,Nána,"861545"
Nitriansky,Nové Zámky,Štúrovo,Štúrovo,"861553"
Trenčiansky,Trenčín,Štvrtok,Štvrtok,"861782"
Trnavský,Dunajská Streda,Štvrtok na Ostrove,Štvrtok na Ostrove,"861791"
Žilinský,Žilina,Šuja,Šuja,"861804"
Banskobystrický,Veľký Krtíš,Šuľa,Šuľa,"861812"
Trnavský,Hlohovec,Hlohovec,Šulekovo,"861847"
Banskobystrický,Brezno,Šumiac,Šumiac,"861871"
Nitriansky,Nové Zámky,Šurany,Šurany,"861898"
Nitriansky,Nitra,Šurianky,Šurianky,"862231"
Banskobystrický,Lučenec,Šurice,Šurice,"862258"
Trnavský,Trnava,Šúrovce,Valtov Šúr,"862266"
Trnavský,Trnava,Šúrovce,Veľké Šúrovce I,"862274"
Trnavský,Trnava,Šúrovce,Zemianske Šúrovce,"862282"
Trnavský,Trnava,Šúrovce,Veľké Šúrovce II,"862291"
Trenčiansky,Prievidza,Šútovce,Horné Šútovce,"862304"
Trenčiansky,Prievidza,Šútovce,Dolné Šútovce,"862312"
Žilinský,Martin,Šútovo,Šútovo,"862347"
Prešovský,Poprad,Švábovce,Švábovce,"862371"
Košický,Gelnica,Švedlár,Švedlár,"862401"
Banskobystrický,Brezno,Telgárt,Telgárt,"862436"
Žilinský,Ružomberok,Švošov,Švošov,"862444"
Banskobystrický,Rimavská Sobota,Tachty,Tachty,"862452"
Nitriansky,Nitra,Tajná,Tajná,"862461"
Banskobystrický,Banská Bystrica,Tajov,Tajov,"862487"
Žilinský,Námestovo,Ťapešovo,Ťapešovo,"862509"
Prešovský,Bardejov,Tarnov,Tarnov,"862517"
Košický,Sobrance,Tašuľa,Tašuľa,"862525"
Prešovský,Poprad,Vysoké Tatry,Tatranská Lomnica,"862568"
Nitriansky,Levice,Tehla,Tehla,"862584"
Trnavský,Hlohovec,Tekolďany,Tekolďany,"862592"
Banskobystrický,Žarnovica,Tekovská Breznica,Tekovská Breznica,"862606"
Nitriansky,Levice,Tekovské Lužany,Hulvinky,"862614"
Nitriansky,Levice,Tekovské Lužany,Tekovské Lužany,"862622"
Nitriansky,Levice,Tekovské Lužany,Tekovské Lužianky,"862631"
Nitriansky,Zlaté Moravce,Tekovské Nemce,Tekovské Nemce,"862665"
Nitriansky,Levice,Hontianske Trsťany,Hontianske Trsťany,"862673"
Nitriansky,Levice,Tekovský Hrádok,Dolný Tekovský Hrádok,"862681"
Nitriansky,Levice,Tekovský Hrádok,Horný Tekovský Hrádok,"862690"
Nitriansky,Nitra,Telince,Telince,"862703"
Trenčiansky,Prievidza,Temeš,Temeš,"862711"
Košický,Spišská Nová Ves,Teplička,Teplička,"862720"
Košický,Spišská Nová Ves,Teplička,Šafárka,"862738"
Žilinský,Žilina,Teplička nad Váhom,Teplička nad Váhom,"862754"
Trnavský,Hlohovec,Tepličky,Tepličky,"862762"
Banskobystrický,Rimavská Sobota,Teplý Vrch,Teplý Vrch,"862771"
Banskobystrický,Krupina,Terany,Dolné Terany,"862789"
Banskobystrický,Krupina,Terany,Horné Terany,"862797"
Žilinský,Žilina,Terchová,Terchová,"863041"
Prešovský,Prešov,Teriakovce,Teriakovce,"863084"
Prešovský,Prešov,Terňa,Terňa,"863092"
Nitriansky,Topoľčany,Tesáre,Tesáre,"863114"
Nitriansky,Zlaté Moravce,Tesárske Mlyňany,Mlyňany,"863122"
Nitriansky,Zlaté Moravce,Tesárske Mlyňany,Tesáre nad Žitavou,"863149"
Nitriansky,Šaľa,Tešedíkovo,Tešedíkovo,"863157"
Nitriansky,Levice,Šahy,Tešmák,"863165"
Košický,Sobrance,Tibava,Tibava,"863173"
Prešovský,Sabinov,Tichý Potok,Tichý Potok,"863190"
Trenčiansky,Bánovce nad Bebravou,Timoradza,Timoradza,"863203"
Prešovský,Stropkov,Tisinec,Tisinec,"863211"
Banskobystrický,Rimavská Sobota,Tisovec,Tisovec,"863220"
Nitriansky,Levice,Tlmače,Tlmače,"863416"
Banskobystrický,Lučenec,Točnica,Točnica,"863424"
Prešovský,Stropkov,Tokajík,Tokajík,"863432"
Trnavský,Galanta,Tomášikovo,Tomášikovo,"863459"
Bratislavský,Senec,Tomášov,Malý Madaras,"863475"
Bratislavský,Senec,Tomášov,Tomášov,"863491"
Banskobystrický,Lučenec,Tomášovce,Tomášovce,"863505"
Banskobystrický,Rimavská Sobota,Tomášovce,Tomášovce,"863513"
Nitriansky,Komárno,Tôň,Tôň,"863521"
Prešovský,Snina,Topoľa,Topoľa,"863530"
Nitriansky,Topoľčany,Topoľčany,Topoľčany,"863548"
Nitriansky,Zlaté Moravce,Topoľčianky,Topoľčianky,"863882"
Trnavský,Galanta,Topoľnica,Topoľnica,"863912"
Trnavský,Dunajská Streda,Topoľníky,Dolné Topoľníky,"863921"
Trnavský,Dunajská Streda,Topoľníky,Horné Topoľníky,"863939"
Trnavský,Dunajská Streda,Ňárad,Ňárad,"863955"
Prešovský,Humenné,Topoľovka,Topoľovka,"863971"
Prešovský,Kežmarok,Toporec,Toporec,"863998"
Prešovský,Sabinov,Torysa,Torysa,"864005"
Prešovský,Levoča,Torysky,Torysky,"864021"
Prešovský,Vranov nad Topľou,Tovarné,Tovarné,"864030"
Prešovský,Vranov nad Topľou,Tovarnianska Polianka,Tovarnianska Polianka,"864048"
Nitriansky,Topoľčany,Tovarníky,Tovarníky,"864056"
Trnavský,Hlohovec,Trakovice,Trakovice,"864064"
Nitriansky,Nové Zámky,Trávnica,Trávnica,"864081"
Nitriansky,Komárno,Trávnik,Trávnik,"864099"
Trnavský,Piešťany,Trebatice,Trebatice,"864102"
Košický,Košice - okolie,Trebejov,Trebejov,"864137"
Banskobystrický,Lučenec,Trebeľovce,Trebeľovce,"864161"
Trenčiansky,Bánovce nad Bebravou,Trebichava,Trebichava,"864170"
Košický,Trebišov,Trebišov,Trebišov,"864188"
Žilinský,Martin,Trebostovo,Trebostovo,"864315"
Banskobystrický,Veľký Krtíš,Trebušovce,Trebušovce,"864323"
Banskobystrický,Lučenec,Trenč,Trenč,"864358"
Trenčiansky,Trenčín,Trenčianska Teplá,Trenčianska Teplá,"864374"
Trenčiansky,Trenčín,Trenčianska Turná,Trenčianska Turná,"864391"
Trenčiansky,Nové Mesto nad Váhom,Trenčianske Bohuslavice,Trenčianske Bohuslavice,"864404"
Trenčiansky,Trenčín,Trenčianske Jastrabie,Trenčianske Jastrabie,"864412"
Trenčiansky,Trenčín,Trenčianske Mitice,Trenčianske Mitice,"864421"
Trenčiansky,Trenčín,Trenčianske Teplice,Trenčianske Teplice,"864455"
Trenčiansky,Trenčín,Trenčín,Trenčín,"864528"
Trenčiansky,Trenčín,Trenčín,Trenčianske Biskupice,"864668"
Trnavský,Dunajská Streda,Horné Mýto,Horné Mýto,"864714"
Trnavský,Dunajská Streda,Trhová Hradská,Trhová Hradská,"864731"
Košický,Michalovce,Trhovište,Trhovište,"864757"
Košický,Trebišov,Malá Tŕňa,Malá Tŕňa,"864765"
Košický,Trebišov,Veľká Tŕňa,Veľká Tŕňa,"864773"
Trnavský,Trnava,Trnava,Trnava,"864790"
Banskobystrický,Žiar nad Hronom,Trnavá Hora,Trnavá Hora,"865265"
Košický,Michalovce,Trnava pri Laborci,Trnava pri Laborci,"865273"
Trnavský,Dunajská Streda,Trnávka,Trnávka,"865290"
Košický,Trebišov,Trnávka,Trnávka,"865303"
Banskobystrický,Zvolen,Tŕnie,Budička,"865311"
Banskobystrický,Zvolen,Tŕnie,Kašova Lehôtka,"865338"
Banskobystrický,Zvolen,Tŕnie,Tŕnie,"865346"
Prešovský,Prešov,Trnkov,Trnkov,"865354"
Žilinský,Žilina,Žilina,Trnové,"865371"
Trnavský,Skalica,Trnovec,Trnovec,"865389"
Nitriansky,Šaľa,Trnovec nad Váhom,Horný Jatov,"865397"
Nitriansky,Šaľa,Trnovec nad Váhom,Trnovec nad Váhom,"865427"
Žilinský,Martin,Trnovo,Trnovo,"865435"
Prešovský,Bardejov,Tročany,Tročany,"865443"
Banskobystrický,Krupina,Trpín,Trpín,"865451"
Košický,Košice - okolie,Trsťany,Trsťany,"865460"
Žilinský,Tvrdošín,Trstená,Trstená,"865478"
Trnavský,Dunajská Streda,Trstená na Ostrove,Trstená na Ostrove,"865486"
Žilinský,Liptovský Mikuláš,Trstené,Trstené,"865494"
Košický,Košice - okolie,Trstené pri Hornáde,Trstené pri Hornáde,"865508"
Trnavský,Galanta,Trstice,Trstice,"865524"
Trenčiansky,Považská Bystrica,Dolný Lieskov,Tŕstie,"865532"
Trnavský,Trnava,Trstín,Trstín,"865559"
Banskobystrický,Žiar nad Hronom,Lovčica-Trubín,Trubín,"865567"
Banskobystrický,Lučenec,Tuhár,Tuhár,"865575"
Prešovský,Prešov,Tuhrina,Tuhrina,"865583"
Trenčiansky,Ilava,Tuchyňa,Tuchyňa,"865605"
Prešovský,Prešov,Tulčík,Tulčík,"865613"
Nitriansky,Levice,Tupá,Chorvatice,"865630"
Nitriansky,Levice,Tupá,Tupá,"865648"
Nitriansky,Levice,Turá,Turá,"865656"
Trenčiansky,Myjava,Myjava,Turá Lúka,"865702"
Žilinský,Martin,Turany,Turany,"865788"
Prešovský,Stropkov,Turany nad Ondavou,Turany nad Ondavou,"865796"
Prešovský,Stropkov,Vyšný Hrabovec,Vyšný Hrabovec,"865800"
Prešovský,Humenné,Turcovce,Turcovce,"865818"
Žilinský,Turčianske Teplice,Turček,Dolný Turček,"865826"
Žilinský,Turčianske Teplice,Turček,Horný Turček,"865834"
Trenčiansky,Partizánske,Turčianky,Turčianky,"865842"
Žilinský,Martin,Turčianska Štiavnička,Turčianska Štiavnička,"865851"
Žilinský,Martin,Turčianske Kľačany,Turčianske Kľačany,"865869"
Žilinský,Turčianske Teplice,Turčianske Teplice,Turčianske Teplice,"865877"
Žilinský,Martin,Turčiansky Ďur,Turčiansky Ďur,"865907"
Žilinský,Turčianske Teplice,Turčianske Teplice,Turčiansky Michal,"865923"
Žilinský,Martin,Turčiansky Peter,Turčiansky Peter,"865931"
Banskobystrický,Revúca,Turčok,Turčok,"865940"
Bratislavský,Senec,Tureň,Tureň,"865958"
Bratislavský,Senec,Tureň,Zonc,"865966"
Banskobystrický,Poltár,Cinobaňa,Turíčky,"865974"
Žilinský,Žilina,Turie,Turie,"865982"
Žilinský,Ružomberok,Turík,Turík,"865991"
Košický,Košice - okolie,Háj,Háj,"866008"
Košický,Košice - okolie,Turňa nad Bodvou,Turňa nad Bodvou,"866016"
Banskobystrický,Zvolen,Turová,Turová,"866024"
Žilinský,Čadca,Turzovka,Turkov,"866075"
Žilinský,Čadca,Turzovka,Turzovka,"866083"
Košický,Michalovce,Tušice,Tušice,"866121"
Košický,Michalovce,Tušická Nová Ves,Tušická Nová Ves,"866130"
Trenčiansky,Prievidza,Tužina,Tužina,"866148"
Prešovský,Kežmarok,Tvarožná,Tvarožná,"866156"
Nitriansky,Topoľčany,Tvrdomestice,Tvrdomestice,"866164"
Žilinský,Tvrdošín,Tvrdošín,Medvedzie,"866172"
Žilinský,Tvrdošín,Tvrdošín,Tvrdošín,"866181"
Nitriansky,Nové Zámky,Tvrdošovce,Tvrdošovce,"866211"
Prešovský,Snina,Ubľa,Ubľa,"866237"
Košický,Sobrance,Úbrež,Úbrež,"866245"
Prešovský,Humenné,Udavské,Udavské,"866253"
Banskobystrický,Lučenec,Lovinobaňa,Uderiná,"866261"
Trenčiansky,Považská Bystrica,Udiča,Udiča,"866270"
Prešovský,Stará Ľubovňa,Údol,Údol,"866318"
Nitriansky,Levice,Uhliská,Uhliská,"866334"
Košický,Gelnica,Úhorná,Úhorná,"866342"
Žilinský,Liptovský Mikuláš,Uhorská Ves,Uhorská Ves,"866351"
Žilinský,Liptovský Mikuláš,Uhorská Ves,Vislavce,"866369"
Banskobystrický,Poltár,Uhorské,Uhorské,"866377"
Trenčiansky,Bánovce nad Bebravou,Uhrovec,Látkovce,"866385"
Trenčiansky,Bánovce nad Bebravou,Uhrovec,Uhrovec,"866393"
Trenčiansky,Bánovce nad Bebravou,Uhrovské Podhradie,Uhrovské Podhradie,"866407"
Trenčiansky,Trenčín,Skalka nad Váhom,Újazd,"866415"
Banskobystrický,Banská Bystrica,Banská Bystrica,Uľanka,"866423"
Nitriansky,Nové Zámky,Úľany nad Žitavou,Úľany nad Žitavou,"866431"
Prešovský,Snina,Ulič,Ulič,"866440"
Prešovský,Snina,Uličské Krivé,Uličské Krivé,"866458"
Prešovský,Levoča,Uloža,Uloža,"866466"
Banskobystrický,Krupina,Uňatín,Uňatín,"866482"
Trnavský,Skalica,Unín,Unín,"866491"
Nitriansky,Topoľčany,Urmince,Urmince,"866539"
Žilinský,Tvrdošín,Trstená,Ústie nad Priehradou,"866563"
Žilinský,Tvrdošín,Trstená,Oravské Hámre,"866571"
Žilinský,Tvrdošín,Trstená,Osada,"866580"
Prešovský,Sabinov,Uzovce,Uzovce,"866598"
Banskobystrický,Rimavská Sobota,Rakytník,Rakytník,"866628"
Banskobystrický,Rimavská Sobota,Uzovská Panica,Uzovská Panica,"866644"
Prešovský,Sabinov,Uzovské Pekľany,Uzovské Pekľany,"866661"
Prešovský,Sabinov,Uzovský Šalgov,Uzovský Šalgov,"866679"
Trenčiansky,Nové Mesto nad Váhom,Vaďovce,Vaďovce,"866687"
Prešovský,Svidník,Vagrinec,Vagrinec,"866695"
Trnavský,Galanta,Váhovce,Váhovce,"866709"
Košický,Košice - okolie,Vajkovce,Vajkovce,"866717"
Košický,Košice - okolie,Valaliky,Valaliky,"866725"
Banskobystrický,Brezno,Valaská,Valaská,"866792"
Trenčiansky,Prievidza,Valaská Belá,Valaská Belá,"867195"
Žilinský,Ružomberok,Valaská Dubová,Valaská Dubová,"867233"
Žilinský,Martin,Valča,Valča,"867250"
Žilinský,Martin,Laskár,Valentová,"867268"
Prešovský,Medzilaborce,Valentovce,Valentovce,"867276"
Prešovský,Svidník,Valkovce,Valkovce,"867284"
Banskobystrický,Brezno,Vaľkovňa,Vaľkovňa,"867314"
Banskobystrický,Poltár,České Brezovo,Vaľkovo,"867331"
Prešovský,Bardejov,Vaniškovce,Vaniškovce,"867349"
Žilinský,Námestovo,Hruštín,Vaňovka,"867357"
Prešovský,Svidník,Vápeník,Vápeník,"867365"
Prešovský,Bardejov,Varadka,Varadka,"867373"
Prešovský,Stropkov,Varechovce,Varechovce,"867381"
Prešovský,Prešov,Varhaňovce,Varhaňovce,"867411"
Žilinský,Žilina,Nezbudská Lúčka,Nezbudská Lúčka,"867438"
Žilinský,Žilina,Varín,Varín,"867446"
Trnavský,Trnava,Šúrovce,Varov Šúr,"867462"
Žilinský,Námestovo,Vasiľov,Vasiľov,"867471"
Žilinský,Námestovo,Vavrečka,Vavrečka,"867489"
Prešovský,Vranov nad Topľou,Vavrinec,Vavrinec,"867497"
Žilinský,Liptovský Mikuláš,Vavrišovo,Vavrišovo,"867501"
Žilinský,Liptovský Mikuláš,Važec,Važec,"867527"
Banskobystrický,Rimavská Sobota,Včelince,Včelince,"867543"
Banskobystrický,Rimavská Sobota,Večelkov,Večelkov,"867551"
Prešovský,Vranov nad Topľou,Vechec,Vechec,"867578"
Košický,Trebišov,Veľaty,Veľaty,"867586"
Nitriansky,Zlaté Moravce,Velčice,Velčice,"867594"
Žilinský,Dolný Kubín,Veličná,Revišné,"867608"
Žilinský,Dolný Kubín,Veličná,Veličná,"867616"
Banskobystrický,Lučenec,Veľká nad Ipľom,Veľká nad Ipľom,"867632"
Banskobystrický,Veľký Krtíš,Veľká Čalomija,Veľká Čalomija,"867641"
Trenčiansky,Prievidza,Veľká Čausa,Veľká Čausa,"867659"
Žilinský,Žilina,Veľká Čierna,Veľká Čierna,"867667"
Nitriansky,Nitra,Veľká Dolina,Veľká Dolina,"867691"
Prešovský,Kežmarok,Veľká Franková,Veľká Franková,"867705"
Trenčiansky,Trenčín,Veľká Hradná,Veľká Hradná,"867713"
Košický,Košice - okolie,Veľká Ida,Veľká Ida,"867748"
Banskobystrický,Žarnovica,Veľká Lehota,Veľká Lehota,"867772"
Trenčiansky,Prievidza,Prievidza,Veľká Lehôtka,"867781"
Prešovský,Stará Ľubovňa,Veľká Lesná,Veľká Lesná,"867799"
Košický,Košice - okolie,Veľká Lodina,Veľká Lodina,"867811"
Prešovský,Kežmarok,Veľká Lomnica,Veľká Lomnica,"867837"
Banskobystrický,Zvolen,Veľká Lúka,Veľká Lúka,"867845"
Trnavský,Galanta,Veľká Mača,Veľká Mača,"867853"
Trnavský,Dunajská Streda,Veľká Paka,Čukárska Paka,"867861"
Trnavský,Dunajská Streda,Veľká Paka,Malá Paka,"867870"
Trnavský,Dunajská Streda,Veľká Paka,Veľká Paka,"867888"
Prešovský,Snina,Stakčín,Veľká Poľana,"867896"
Banskobystrický,Poltár,Veľká Ves,Veľká Ves,"867900"
Banskobystrický,Veľký Krtíš,Veľká Ves nad Ipľom,Veľká Ves nad Ipľom,"867918"
Nitriansky,Topoľčany,Topoľčany,Veľké Bedzany,"867926"
Trenčiansky,Partizánske,Partizánske,Veľké Bielice,"867934"
Trenčiansky,Trenčín,Veľké Bierovce,Veľké Bierovce,"867942"
Trnavský,Dunajská Streda,Veľké Blahovo,Veľké Blahovo,"867951"
Žilinský,Liptovský Mikuláš,Veľké Borové,Veľké Borové,"867969"
Banskobystrický,Lučenec,Veľké Dravce,Veľké Dravce,"867977"
Nitriansky,Topoľčany,Veľké Dvorany,Veľké Dvorany,"867985"
Trenčiansky,Bánovce nad Bebravou,Veľké Hoste,Veľké Hoste,"867993"
Trenčiansky,Bánovce nad Bebravou,Veľké Chlievany,Veľké Chlievany,"868001"
Nitriansky,Nitra,Veľké Chyndice,Veľké Chyndice,"868019"
Nitriansky,Nitra,Nitra,Veľké Janíkovce,"868035"
Košický,Michalovce,Veľké Kapušany,Veľké Kapušany,"868043"
Nitriansky,Komárno,Veľké Kosihy,Veľké Kosihy,"868132"
Trnavský,Piešťany,Veľké Kostoľany,Veľké Kostoľany,"868141"
Trnavský,Piešťany,Veľké Kostoľany,Zákostoľany,"868159"
Trenčiansky,Ilava,Košecké Podhradie,Veľké Košecké Podhradie,"868167"
Nitriansky,Levice,Veľké Kozmálovce,Veľké Kozmálovce,"868175"
Trenčiansky,Partizánske,Veľké Kršteňany,Veľké Kršteňany,"868183"
Bratislavský,Malacky,Veľké Leváre,Veľké Leváre,"868191"
Nitriansky,Nové Zámky,Veľké Lovce,Veľké Lovce,"868205"
Nitriansky,Levice,Veľké Ludince,Veľké Ludince,"868213"
Trnavský,Piešťany,Veľké Orvište,Veľké Orvište,"868221"
Košický,Trebišov,Veľké Ozorovce,Veľké Ozorovce,"868230"
Banskobystrický,Žarnovica,Veľké Pole,Veľké Pole,"868248"
Košický,Michalovce,Veľké Raškovce,Veľké Raškovce,"868256"
Košický,Sobrance,Veľké Revištia,Veľké Revištia,"868272"
Nitriansky,Topoľčany,Veľké Ripňany,Veľké Ripňany,"868299"
Žilinský,Bytča,Veľké Rovné,Veľké Rovné,"868540"
Košický,Michalovce,Veľké Slemence,Veľké Slemence,"868582"
Trenčiansky,Trenčín,Trenčianske Stankovce,Veľké Stankovce,"868591"
Banskobystrický,Veľký Krtíš,Veľké Straciny,Veľké Straciny,"868612"
Banskobystrický,Rimavská Sobota,Veľké Teriakovce,Malé Teriakovce,"868639"
